,region_code,region,total_earners,median_age,income_sum,income_median,income_mean
107,105031106,Wellington,3920,47,174676171,40320,44560
108,106011107,Branxton - Greta - Pokolbin,6622,41,460068243,54551,69476
109,106011108,Cessnock,9995,40,568196874,47926,56848
110,106011109,Cessnock Region,4688,45,289416064,48128,61736
111,106011110,Dungog,5123,48,283919111,44222,55420
112,106011111,Kurri Kurri - Abermain,9366,39,526349318,50235,56198
113,106011112,Singleton,9219,41,684947701,58486,74297
114,106011113,Singleton Region,2962,46,201521381,50522,68036
115,106021114,Maitland,4121,38,259571025,54241,62987
116,106021115,Maitland - East,15893,42,994327524,52923,62564
117,106021116,Maitland - North,4874,44,359785334,57585,73817
118,106021117,Maitland - West,12679,39,809186760,52990,63821
119,106021118,Thornton - Millers Forest,7464,39,489248263,58635,65548
120,106031119,Anna Bay,3329,47,183860583,42059,55230
121,106031120,Lemon Tree Passage - Tanilba Bay,3189,48,160831256,42683,50433
122,106031121,Nelson Bay Peninsula,12173,51,672849415,40786,55274
123,106031122,Raymond Terrace,6859,42,358880037,48288,52323
124,106031123,Seaham - Woodville,3496,47,227128671,51384,64968
125,106031124,Tea Gardens - Hawks Nest,2716,60,125726488,32152,46291
126,106031125,Williamtown - Medowie - Karuah,7861,44,474359250,52327,60343
127,106041126,Muswellbrook,6394,40,449628467,56157,70320
128,106041127,Muswellbrook Region,2202,46,141601220,51358,64306
129,106041128,Scone,3532,42,317661188,50651,89938
130,106041129,Scone Region,4341,45,236717978,46601,54531
131,107011131,Dapto - Avondale,12748,42,730000700,50134,57264
132,107011132,Horsley - Kembla Grange,5904,40,394050755,57914,66743
133,107011133,Port Kembla Industrial,3,34,184578,62115,61526
134,107011134,Unanderra - Mount Kembla,8839,44,589232648,54523,66663
135,107011545,Berkeley - Lake Heights - Cringila,6544,40,354144215,47058,54117
136,107011546,Port Kembla - Warrawong,4301,41,237601492,47012,55243
137,107011547,Windang - Primbee,2110,45,123049147,49990,58317
138,107021135,Illawarra Catchment Reserve,6,51,407223,62199,67871
139,107031136,Albion Park - Macquarie Pass,9350,40,578470651,54601,61869
140,107031137,Albion Park Rail,3693,41,204524416,49728,55382
141,107031138,Kiama,4879,50,313949115,47009,64347
142,107031139,Kiama Downs - Minnamurra,3675,47,235520896,50279,64087
143,107031140,Kiama Hinterland - Gerringong,4902,49,322920033,48845,65875
144,107031141,Shellharbour - Flinders,10609,43,716404344,55507,67528
145,107031142,Shellharbour - Oak Flats,5731,43,336260305,49834,58674
146,107031143,Warilla,9775,43,528373212,47760,54054
147,107041144,Balgownie - Fairy Meadow,11927,44,779397648,51197,65347
148,107041145,Corrimal - Tarrawanna - Bellambi,8513,43,523463210,52502,61490
149,107041146,Figtree - Keiraville,12560,43,815203644,51712,64905
150,107041147,Helensburgh,5630,43,413035884,59592,73363
151,107041148,Thirroul - Austinmer - Coalcliff,7491,47,620163801,60075,82788
152,107041150,Woonona - Bulli - Russell Vale,11812,44,852678331,58102,72187
153,107041548,Wollongong - East,8943,38,586050232,52118,65532
154,107041549,Wollongong - West,9087,37,561498094,48984,61791
155,108011151,Bulahdelah - Stroud,2544,49,122710413,40129,48235
156,108011152,Forster,7084,52,333449064,37777,47071
157,108011153,Forster-Tuncurry Region,3318,51,156981115,36883,47312
158,108011154,Tuncurry,2753,54,116957135,33500,42484
159,108021155,Kempsey,6155,46,283688305,41580,46091
160,108021156,Kempsey Region,4726,50,202222862,36753,42789
161,108021157,Macksville - Scotts Head,2398,49,109506392,37884,45666
162,108021158,Nambucca Heads,2829,51,120678745,35368,42658
163,108021159,Nambucca Heads Region,3960,50,170599423,36291,43081
164,108021160,South West Rocks,2566,53,116477082,36088,45392
165,108031161,Lord Howe Island,317,46,20416128,50737,64404
166,108041162,Laurieton - Bonny Hills,8939,52,407026691,37269,45534
167,108041163,Port Macquarie - East,16282,48,925666908,44534,56852
168,108041164,Port Macquarie - West,9691,46,499269693,42635,51519
169,108041165,Port Macquarie Region,3160,49,141117596,37410,44657
170,108041166,Wauchope,6162,46,316489058,43478,51361
171,108051167,Gloucester,2548,52,112315144,36093,44080
172,108051168,Old Bar - Manning Point - Red Head,6093,50,302911335,40337,49715
173,108051169,Taree,8946,46,429085489,41882,47964
174,108051170,Taree Region,6359,52,270153188,34853,42484
175,108051171,Wingham,2613,47,122577571,43594,46911
176,109011172,Albury - East,9783,41,611458296,54512,62502
177,109011173,Albury - North,5580,43,294749518,47292,52822
178,109011174,Albury - South,6327,48,409281549,50903,64688
179,109011175,Albury Region,7017,48,377117189,45952,53743
180,109011176,Lavington,7727,42,372341392,44483,48187
181,109021177,Hay,1690,48,82578390,44329,48863
182,109021178,Wentworth - Buronga,3191,46,181934020,45191,57015
183,109021179,Wentworth-Balranald Region,1896,46,93577124,43450,49355
184,109031180,Corowa,3176,49,156636237,44795,49319
185,109031181,Corowa Region,3838,48,186233344,43234,48524
186,109031182,Deniliquin,4312,48,219539451,45732,50914
187,109031183,Deniliquin Region,3348,49,152354303,37000,45506
188,109031184,Moama,3419,46,196808162,48032,57563
189,109031185,Tocumwal - Finley - Jerilderie,5234,48,253872133,41939,48504
190,110011186,Armidale,12714,43,709890172,46003,55835
191,110011187,Armidale Region - North,2498,47,106110659,36097,42478
192,110011188,Armidale Region - South,3425,48,167736569,42188,48974
193,110011189,Walcha,1885,52,81108958,38174,43029
194,110021190,Glen Innes,4222,49,170955493,35216,40492
195,110021191,Inverell,5976,44,302768770,44904,50664
196,110021192,Inverell Region - East,2443,48,87003409,34613,35613
197,110021193,Inverell Region - West,2853,49,95961358,30974,33635
198,110021194,Tenterfield,3163,53,116295224,29591,36767
199,110031195,Moree,4298,43,254111804,51529,59123
200,110031196,Moree Region,2688,43,103313716,42150,38435
201,110031197,Narrabri,4031,43,236459789,50503,58660
202,110031198,Narrabri Region,2617,47,113739317,40998,43462
203,110041199,Gunnedah,4998,41,324724473,52844,64971
204,110041200,Gunnedah Region,2348,46,108803740,40746,46339
205,110041201,Quirindi,3870,48,169586658,40224,43821
206,110041202,Tamworth - East,11568,42,628814252,48796,54358
207,110041203,Tamworth - North,9267,41,556820185,51476,60086
208,110041204,Tamworth - West,2672,37,127433482,46972,47692
209,110041205,Tamworth Region,10646,47,528493249,44459,49642
210,111011206,Belmont - Bennetts Green,10061,45,627564409,50680,62376
211,111011207,Belmont South - Blacksmiths,2999,48,169388502,47739,56482
212,111011208,Charlestown - Dudley,14494,42,937159465,54171,64658
213,111011209,Glendale - Cardiff - Hillsborough,13843,41,868204174,54229,62718
214,111011210,Mount Hutton - Windale,4258,42,235030284,48824,55197
215,111011211,Redhead,1999,47,155773129,56270,77926
216,111011212,Swansea - Caves Beach,6469,47,394742005,48684,61021
217,111011213,Valentine - Eleebana,7707,48,546838576,54385,70953
218,111011214,Warners Bay - Boolaroo,8304,46,544744799,53253,65600
219,111021215,Bolton Point - Teralba,4792,45,267724693,49422,55869
220,111021216,Bonnells Bay - Silverwater,5020,46,281474726,47755,56071
221,111021217,Edgeworth - Cameron Park,8442,39,532125175,56125,63033
222,111021218,Morisset - Cooranbong,8486,45,467423682,46012,55082
223,111021219,Toronto - Awaba,7539,48,457506517,47480,60685
224,111021220,Wangi Wangi - Rathmines,5327,49,327236524,48308,61430
225,111021221,West Wallsend - Barnsley - Killingworth,4053,41,236073340,52975,58247
226,111031222,Adamstown - Kotara,9745,42,651713798,56850,66877
227,111031223,Beresfield - Hexham,4384,41,230178405,47348,52504
228,111031224,Hamilton - Broadmeadow,7311,42,515665507,54307,70533
229,111031225,Lambton - New Lambton,10094,44,731783276,58579,72497
230,111031226,Maryland - Fletcher - Minmi,8774,40,562125109,56110,64067
231,111031227,Mayfield - Warabrook,8480,38,500443165,52794,59015
232,111031228,Merewether - The Junction,9345,44,851472941,63659,91115
233,111031229,Newcastle - Cooks Hill,7974,40,726115979,61524,91060
234,111031230,Newcastle Port - Kooragang,8,51,388578,37066,48572
235,111031231,Shortland - Jesmond,5308,32,242936885,38938,45768
236,111031232,Stockton - Fullerton Cove,4390,46,275930284,53692,62854
237,111031233,Wallsend - Elermore Vale,10816,41,631736287,50759,58408
238,111031234,Waratah - North Lambton,6610,38,395573585,53370,59845
239,111031235,Wickham - Carrington - Tighes Hill,5350,38,353171988,56552,66013
240,112011236,Ballina,9883,50,493734247,42102,49958
241,112011237,Ballina Region,10458,48,570972555,43457,54597
242,112011238,Bangalow,4350,46,273443913,39994,62861
243,112011239,Brunswick Heads - Ocean Shores,5323,46,256293882,38261,48148
244,112011240,Byron Bay,7746,39,439663650,36175,56760
245,112011241,Evans Head,2743,48,135372916,42793,49352
246,112011242,Lennox Head - Skennars Head,5711,47,363032459,47536,63567
247,112011243,Mullumbimby,5348,47,231999516,32131,43381
248,112021244,Casino,5749,44,264259708,44315,45966
249,112021245,Casino Region,3600,48,143962841,36880,39990
250,112021246,Goonellabah,7037,44,366380789,46381,52065
251,112021247,Kyogle,3815,51,158649279,34140,41586
252,112021248,Lismore,7878,44,374372087,43466,47521
253,112021249,Lismore Region,9328,49,468418586,40413,50216
254,112031250,Kingscliff - Fingal Head,8208,46,547582642,47677,66713
255,112031251,Murwillumbah,4716,46,217809416,40844,46185
256,112031252,Murwillumbah Region,5617,50,266861242,38114,47510
257,112031253,Pottsville,7791,46,403132965,41969,51743
258,112031254,Tweed Heads,10656,47,542514682,42020,50912
259,112031550,Banora Point,8717,47,445718053,43727,51132
260,112031551,Terranora - North Tumblegum,2082,46,121602327,46327,58406
261,112031552,Tweed Heads South,3768,48,174657479,39557,46353
262,113011256,Griffith (NSW),12516,39,696926113,50158,55683
263,113011257,Griffith Region,7755,44,428604518,49186,55268
264,113011258,Leeton,5703,43,305258260,48646,53526
265,113011259,Narrandera,3201,47,151491309,44083,47326
266,113021260,Tumbarumba,1944,49,99251971,43675,51056
267,113021261,Tumut,3311,44,192412082,50993,58113
268,113021262,Tumut Region,2599,48,137625524,45144,52953
269,113031263,Cootamundra,3752,49,196403607,45124,52346
270,113031264,Gundagai,2012,46,96327089,41481,47876
271,113031265,Junee,2976,45,157802606,48454,53025
272,113031266,Temora,3644,49,168841109,39811,46334
273,113031267,Wagga Wagga - East,10043,44,632866625,51814,63016
274,113031268,Wagga Wagga - North,2861,38,177953023,54205,62200
275,113031269,Wagga Wagga - South,12293,41,743483713,54150,60480
276,113031270,Wagga Wagga - West,6724,40,415408686,50872,61780
277,113031271,Wagga Wagga Region,8943,44,498366094,49788,55727
278,114011272,Berry - Kangaroo Valley,5095,53,306272770,42649,60112
279,114011273,Callala Bay - Currarong,1914,50,99480044,41763,51975
280,114011274,Culburra Beach,2617,50,130811868,42197,49985
281,114011275,Ettrema - Sassafras - Budawang,29,58,-79683,30750,-2748
282,114011276,Huskisson - Vincentia,2790,51,166525255,46311,59686
283,114011277,North Nowra - Bomaderry,8465,45,466882069,45870,55154
284,114011278,Nowra,9758,41,517106776,46021,52993
285,114011279,St Georges Basin - Erowal Bay,6717,46,312937268,41247,46589
286,114011280,Sussex Inlet - Berrara,1981,52,85215961,36625,43017
287,114011281,Tomerong - Wandandian - Woollamia,2101,48,114370053,46203,54436
288,114011282,Ulladulla,8584,49,396897589,37213,46237
289,114011283,Ulladulla Region,2885,53,134690067,35295,46686
290,114021284,Bowral,8089,55,595944335,45544,73673
291,114021285,Hill Top - Colo Vale,3715,42,223705141,51306,60217
292,114021286,Mittagong,5868,47,385203060,47845,65645
293,114021287,Moss Vale - Berrima,5746,46,336287834,46952,58526
294,114021288,Robertson - Fitzroy Falls,2299,50,169719430,45526,73823
295,114021289,Southern Highlands,4191,53,247191532,41450,58982
296,115011290,Baulkham Hills (East),14530,42,1026376072,58854,70638
297,115011291,Baulkham Hills (West) - Bella Vista,13807,44,1072903712,58438,77707
298,115011294,Glenhaven,4187,51,389872734,56874,93115
299,115011296,West Pennant Hills,8950,48,792726322,58989,88573
300,115011553,Castle Hill - Central,4769,44,338309091,55133,70939
301,115011554,Castle Hill - East,3285,50,252146107,50466,76757
302,115011555,Castle Hill - North,7867,47,637158117,56066,80991
303,115011556,Castle Hill - South,6357,44,482389709,55854,75883
304,115011557,Castle Hill - West,3473,45,279627256,61705,80515
305,115011558,Cherrybrook,12558,47,939508503,55852,74814
306,115011559,Kellyville,16028,43,1214676013,61038,75785
307,115021297,Dural - Kenthurst - Wisemans Ferry,14289,47,1203458028,54884,84223
308,115021298,Galston - Laughtondale,3442,49,271312240,51736,78824
309,115031299,Bilpin - Colo - St Albans,1632,48,96624466,47086,59206
310,115031300,Kurrajong Heights - Ebenezer,13936,44,919979928,54698,66015
311,115041301,Pitt Town - McGraths Hill,6855,44,488137981,56107,71209
312,115041302,Rouse Hill - Beaumont Hills,19874,40,1517805557,63465,76371
313,116011303,Blacktown (East) - Kings Park,10128,35,564757503,50293,55762
314,116011304,Blacktown (North) - Marayong,11076,37,617573890,50970,55758
315,116011306,Doonside - Woodcroft,13574,39,787747344,53409,58034
316,116011307,Lalor Park - Kings Langley,14370,41,898507678,55045,62527
317,116011308,Seven Hills - Toongabbie,15183,39,890881847,52552,58676
318,116011560,Blacktown (South),7253,38,393263722,49189,54221
319,116011561,Blacktown (West),9639,37,518454359,49508,53787
320,116021309,Glenwood,10047,41,692260513,58208,68902
321,116021310,Parklea - Kellyville Ridge,18791,40,1410139472,65294,75043
322,116021312,Riverstone - Marsden Park,22120,36,1520744687,61885,68750
323,116021562,Acacia Gardens,2349,40,159531445,60842,67915
324,116021563,Quakers Hill,14502,39,927395359,57641,63949
325,116031313,Bidwill - Hebersham - Emerton,8093,37,401132152,47787,49565
326,116031314,Glendenning - Dean Park,4800,38,279825364,55060,58297
327,116031315,Hassall Grove - Plumpton,12460,39,721664904,54999,57919
328,116031316,Lethbridge Park - Tregear,9666,36,529388225,51474,54768
329,116031317,Mount Druitt - Whalan,10844,37,548493490,47866,50580
330,116031318,Prospect Reservoir,45,44,7582201,104834,168493
331,116031319,Rooty Hill - Minchinbury,12630,39,735577882,54551,58241
332,117011320,Banksmeadow,131,34,8736383,59890,66690
333,117011321,Botany,7746,40,591131839,65613,76314
334,117011322,Mascot - Eastlakes,18214,34,1087366286,49901,59699
335,117011323,Pagewood - Hillsdale - Daceyville,7354,39,469214410,52578,63804
336,117011324,Port Botany Industrial,7,43,673418,49634,96203
337,117011325,Sydney Airport,8,28,345016,28890,43127
338,117021326,Marrickville,16787,37,1230258184,60346,73286
339,117021327,Petersham - Stanmore,13738,37,1162892213,66912,84648
340,117021328,Sydenham - Tempe - St Peters,5494,38,408757581,63743,74401
341,117031329,Darlinghurst,8813,36,915565118,69004,103888
342,117031330,Erskineville - Alexandria,13460,35,1255767509,80483,93296
343,117031331,Glebe - Forest Lodge,13418,36,1211746690,64791,90308
344,117031332,Newtown - Camperdown - Darlington,16360,35,1346789908,65999,82322
345,117031333,Potts Point - Woolloomooloo,14730,37,1582622857,71396,107442
346,117031334,Pyrmont - Ultimo,15250,34,1158326550,46826,75956
347,117031335,Redfern - Chippendale,14524,33,1145528981,56889,78871
348,117031336,Surry Hills,12967,34,1193954093,64711,92076
349,117031337,Sydney - Haymarket - The Rocks,28552,31,2019717290,28339,70738
350,117031338,Waterloo - Beaconsfield,23618,33,1741926976,61550,73754
351,118011339,Bondi - Tamarama - Bronte,14244,37,1684560144,67947,118265
352,118011340,Bondi Beach - North Bondi,16036,35,1663579970,66113,103740
353,118011341,Bondi Junction - Waverly,13214,38,1317048672,62318,99671
354,118011342,Centennial Park,np,np,np,np,np
355,118011343,Double Bay - Bellevue Hill,18141,45,3157861746,80236,174073
356,118011344,Dover Heights,7621,44,905666695,69205,118838
357,118011345,Paddington - Moore Park,11152,39,1559918655,79452,139878
358,118011346,Rose Bay - Vaucluse - Watsons Bay,8320,48,1598840322,77179,192168
359,118011347,Woollahra,5438,45,923342426,79491,169794
360,118021348,Coogee - Clovelly,18223,38,1959269298,73314,107516
361,118021350,Malabar - La Perouse - Chifley,13884,44,1093386302,59665,78752
362,118021564,Kensington (NSW),7657,36,607312015,54996,79315
363,118021565,Kingsford,8102,39,558083116,49187,68882
364,118021566,Maroubra - North,6597,44,627329190,62938,95093
365,118021567,Maroubra - South,6895,40,539702400,58842,78274
366,118021568,Maroubra - West,6614,40,546804519,54675,82674
367,118021569,Randwick - North,11599,38,1192922270,70870,102847
368,118021570,Randwick - South,8702,37,770438797,64973,88536
369,119011354,Bass Hill - Georges Hall,10380,41,559511101,44104,53903
370,119011355,Chullora,769,36,44951913,49998,58455
371,119011356,Condell Park,5945,39,329009871,44508,55342
372,119011357,Greenacre - Mount Lewis,12155,39,631243398,41640,51933
373,119011358,Padstow,10159,42,615582647,50814,60595
374,119011359,Panania - Milperra - Picnic Point,15905,42,1033135726,55034,64957
375,119011360,Revesby,9579,41,576485403,52391,60182
376,119011361,Yagoona - Birrong,10391,39,523746339,42997,50404
377,119011571,Bankstown - North,8471,36,410733623,40672,48487
378,119011572,Bankstown - South,8368,37,396253983,40236,47353
379,119021362,Belmore - Belfield,10934,40,592653301,46178,54203
380,119021363,Canterbury (South) - Campsie,19413,35,945587454,40553,48709
381,119021364,Kingsgrove (North) - Earlwood,14194,44,995819734,55647,70158
382,119021366,Punchbowl,10196,37,478559652,38670,46936
383,119021367,Roselands,7679,42,432085310,46922,56268
384,119021573,Lakemba,8251,36,355534823,35577,43090
385,119021574,Wiley Park,5100,35,224647089,36491,44048
386,119031368,Hurstville,16127,34,775976486,38190,48117
387,119031369,Mortdale - Penshurst,15898,39,1054317628,52213,66318
388,119031370,Narwee - Beverly Hills,8229,41,464224536,46386,56413
389,119031371,Oatley - Hurstville Grove,8390,46,651731887,55202,77680
390,119031372,Peakhurst - Lugarno,11619,45,794724814,53632,68399
391,119031373,Riverwood,6396,37,316890286,42601,49545
392,119031374,South Hurstville - Blakehurst,16415,40,1086980678,45709,66219
393,119041375,Arncliffe - Bardwell Valley,16341,33,961186908,48409,58821
394,119041376,Bexley,15977,39,920965383,48085,57643
395,119041377,Kingsgrove (South) - Bardwell Park,7951,44,524414056,51984,65956
396,119041378,Kogarah,8029,36,481838074,50736,60012
397,119041379,Kogarah Bay - Carlton - Allawah,10533,39,650014932,49128,61712
398,119041380,Monterey - Brighton-le-Sands - Kyeemagh,8526,43,574988529,54001,67439
399,119041381,Rockdale - Banksia,13853,34,739823318,44990,53405
400,119041382,Sans Souci - Ramsgate,9987,46,728121257,56800,72907
401,120011383,Concord - Mortlake - Cabarita,14708,46,1254892249,60785,85320
402,120011384,Concord West - North Strathfield,15526,35,1055378702,53401,67975
403,120011385,Drummoyne - Rodd Point,12163,45,1229617230,70068,101095
404,120011386,Five Dock - Abbotsford,13165,44,1173044220,65949,89103
405,120021387,Balmain,11351,45,1549581769,84063,136515
406,120021388,Leichhardt - Annandale,17423,41,1734181277,74308,99534
407,120021389,Lilyfield - Rozelle,9104,43,1026747841,81374,112780
408,120031390,Ashfield,16591,36,1004616281,48482,60552
409,120031391,Burwood - Croydon,16118,36,940558500,40631,58355
410,120031392,Canterbury (North) - Ashbury,7552,39,517920050,54247,68581
411,120031393,Croydon Park - Enfield,10464,42,678181777,52649,64811
412,120031394,Dulwich Hill - Lewisham,11632,39,927490422,64986,79736
413,120031395,Haberfield - Summer Hill,8972,42,838401662,66013,93446
414,120031396,Homebush,13758,32,757829988,44852,55083
415,120031575,Strathfield,18855,33,1309756598,43128,69465
416,120031576,Strathfield South,2291,41,149685728,51919,65336
417,121011398,Chatswood (East) - Artarmon,19570,40,1631942277,53938,83390
418,121011399,Chatswood (West) - Lane Cove North,14210,40,1254680694,65001,88296
419,121011400,Lane Cove - Greenwich,19422,43,2377366285,74703,122406
420,121011401,St Leonards - Naremburn,8126,38,870037582,80474,107068
421,121011402,Willoughby - Castle Cove - Northbridge,17238,47,2347148616,72690,136161
422,121021403,Asquith - Mount Colah,13210,44,951058613,59113,71995
423,121021404,Berowra - Brooklyn - Cowan,7549,46,537462836,56833,71197
424,121021406,Normanhurst - Thornleigh - Westleigh,11952,46,937945589,58850,78476
425,121021577,Hornsby - East,8160,37,501442596,53229,61451
426,121021578,Hornsby - West,6744,44,464708703,54990,68907
427,121021579,Waitara - Wahroonga (West),7106,39,525886291,59689,74006
428,121031407,Gordon - Killara,15005,46,1599924164,59809,106626
429,121031408,Lindfield - Roseville,16487,46,2008028859,65050,121795
430,121031409,Pymble,11345,47,1272683371,65532,112180
431,121031410,St Ives,13949,48,1367488053,59140,98035
432,121031411,Turramurra,13049,49,1383056451,61818,105989
433,121031412,Wahroonga (East) - Warrawee,12099,48,1372487717,63878,113438
434,121041413,Cremorne - Cammeray,13639,44,1685282476,79232,123563
435,121041414,Crows Nest - Waverton,13605,39,1416032669,78065,104082
436,121041415,Mosman,20514,47,3493428720,77778,170295
437,121041416,Neutral Bay - Kirribilli,13119,40,1618001571,79146,123333
438,121041417,North Sydney - Lavender Bay,9433,39,1248172867,80107,132320
439,122011418,Balgowlah - Clontarf - Seaforth,13752,47,1807642506,68706,131446
440,122011419,Manly - Fairlight,17121,39,2049704122,72484,119719
441,122021420,Avalon - Palm Beach,9049,51,923973467,54926,102108
442,122021421,Bayview - Elanora Heights,7379,50,745639834,57680,101049
443,122021422,Newport - Bilgola,9587,49,915180441,58153,95461
444,122021423,Warriewood - Mona Vale,16498,46,1294563466,57231,78468
