,region_code,region,total_earners,median_age,income_sum,income_median,income_mean
0,Australia ,,14425037,42,951373381486,51389,65953
1,New South Wales,,4569650,42,314465961966,51818,68816
2,101021007,Braidwood,2361,51,120763285,41593,51149
3,101021008,Karabar,5100,42,338308979,61777,66335
4,101021009,Queanbeyan,6697,39,441160946,60119,65874
5,101021010,Queanbeyan - East,3393,40,237035656,63051,69860
6,101021011,Queanbeyan Region,12821,44,1050285692,71420,81919
7,101021012,Queanbeyan West - Jerrabomberra,8476,44,725602722,73851,85607
8,101031013,Bombala,1369,50,71777152,44428,52430
9,101031014,Cooma,3777,46,206500749,47029,54673
10,101031015,Cooma Region,2066,49,111397467,44743,53919
11,101031016,Jindabyne - Berridale,4458,44,243613766,44972,54646
12,101041017,Batemans Bay,4079,50,181282485,37992,44443
13,101041018,Batemans Bay - South,4619,52,227733833,40029,49304
14,101041019,Bega - Tathra,4911,48,255340233,45148,51994
15,101041020,Bega-Eden Hinterland,5423,51,236854145,36150,43676
16,101041021,Broulee - Tomakin,2019,52,108608277,43001,53793
17,101041022,Deua - Wadbilliga,13,51,575075,26366,44237
18,101041023,Eden,1743,50,79943421,40258,45865
19,101041024,Eurobodalla Hinterland,1995,52,101713855,38809,50984
20,101041025,Merimbula - Tura Beach,6527,52,324099790,40379,49655
21,101041026,Moruya - Tuross Head,4500,53,210069135,39335,46682
22,101041027,Narooma - Bermagui,4891,56,212632765,33647,43474
23,101051539,Goulburn,12643,43,731155106,50851,57831
24,101051540,Goulburn Region,7483,49,408586880,44791,54602
25,101061541,Yass,3936,45,240435573,54429,61086
26,101061542,Yass Region,7758,47,577029247,60596,74379
27,101061543,Young,5490,44,280102081,44289,51020
28,101061544,Young Region,3917,49,197516813,42455,50426
29,102011028,Avoca Beach - Copacabana,4736,47,340642238,50369,71926
30,102011029,Box Head - MacMasters Beach,6662,49,424459788,47179,63714
31,102011030,Calga - Kulnura,2933,49,174684785,44506,59558
32,102011031,Erina - Green Point,7938,48,530946051,48152,66887
33,102011032,Gosford - Springfield,10958,42,678336368,51263,61903
34,102011033,Kariong,3818,42,239477019,53945,62723
35,102011034,Kincumber - Picketts Valley,4011,46,238346130,48278,59423
36,102011035,Narara,4119,43,242382933,51826,58845
37,102011036,Niagara Park - Lisarow,4922,44,298572813,51028,60661
38,102011037,Point Clare - Koolewong,3623,47,222083915,51171,61298
39,102011038,Saratoga - Davistown,4207,47,262158192,49298,62315
40,102011039,Terrigal - North Avoca,8915,46,658994922,52678,73920
41,102011040,Umina - Booker Bay - Patonga,12823,46,720502302,45507,56188
42,102011041,Wamberal - Forresters Beach,6335,46,438118830,51249,69158
43,102011042,Woy Woy - Blackwall,7240,46,411081957,47595,56779
44,102011043,Wyoming,6021,43,333033074,48985,55312
45,102021044,Bateau Bay - Killarney Vale,11552,43,636875062,47293,55131
46,102021045,Blue Haven - San Remo,5669,39,295720022,47722,52164
47,102021046,Budgewoi - Buff Point - Halekulani,4624,44,250001059,47257,54066
48,102021047,Chittaway Bay - Tumbi Umbi,9004,44,519541857,49671,57701
49,102021048,Gorokan - Kanwal - Charmhaven,10481,42,531806166,46152,50740
50,102021049,Jilliby - Yarramalong,2168,47,144523893,50362,66662
51,102021050,Lake Munmorah - Mannering Park,5062,45,267277757,46271,52801
52,102021051,Ourimbah - Fountaindale,3094,44,201202256,52955,65030
53,102021052,Summerland Point - Gwandalan,3274,45,178689901,47932,54578
54,102021053,The Entrance,11123,44,633209514,50302,56928
55,102021054,Toukley - Norah Head,4661,45,257295784,45767,55202
56,102021055,Tuggerah - Kangy Angy,3064,43,180535650,50084,58922
57,102021056,Warnervale - Wadalba,9277,41,563897504,52926,60784
58,102021057,Wyong,4256,43,222827781,46471,52356
59,103011058,Bathurst,12991,42,783845750,51622,60338
60,103011059,Bathurst - East,6179,43,377425547,53555,61082
61,103011060,Bathurst Region,4138,49,233829039,48247,56508
62,103011061,Oberon,2563,48,134852801,48032,52615
63,103021062,Condobolin,3513,45,127334392,34113,36247
64,103021063,Cowra,4834,48,235155890,42334,48646
65,103021064,Cowra Region,2801,48,131262698,40541,46863
66,103021065,Forbes,5327,45,266171367,44268,49966
67,103021066,Grenfell,1851,51,79752298,37479,43086
68,103021067,Parkes (NSW),5737,43,319878563,47392,55757
69,103021068,Parkes Region,1680,48,60261510,34777,35870
70,103021069,West Wyalong,3177,47,152934332,39663,48138
71,103031070,Lithgow,5706,45,341824793,48039,59906
72,103031071,Lithgow Region,4387,47,252046931,47877,57453
73,103031072,Mudgee,6811,42,454510611,52277,66732
74,103031073,Mudgee Region - East,1434,50,71956409,39023,50179
75,103031074,Mudgee Region - West,5488,47,299359236,41921,54548
76,103031075,Wollangambe - Wollemi,np,np,np,np,np
77,103041076,Blayney,4058,47,227406362,48139,56039
78,103041077,Orange,9909,43,595631863,50067,60110
79,103041078,Orange - North,12309,41,818863071,56000,66526
80,103041079,Orange Region,6711,46,406374581,48355,60554
81,104011080,Grafton,8987,45,456991716,44394,50850
82,104011081,Grafton Region,8080,49,368033070,39600,45549
83,104011082,Maclean - Yamba - Iluka,8664,51,423492811,37994,48880
84,104021083,Bellingen,3388,49,160410382,38017,47347
85,104021084,Coffs Harbour - North,9530,44,479365654,42784,50301
86,104021085,Coffs Harbour - South,5557,45,298056123,44190,53636
87,104021086,Coramba - Nana Glen - Bucca,2346,48,119297362,43889,50851
88,104021087,Dorrigo,1689,53,65025337,31594,38499
89,104021088,Korora - Emerald Beach,6110,47,374426820,47196,61281
90,104021089,Sawtell - Boambee,10999,46,572906548,44419,52087
91,104021090,Urunga,2492,51,120740602,40566,48451
92,104021091,Woolgoolga - Arrawarra,7906,43,374068058,37935,47314
93,105011092,Bourke - Brewarrina,1795,43,94063761,49223,52403
94,105011093,Cobar,2288,42,148186502,56452,64767
95,105011094,Coonamble,1900,46,61861588,37076,32559
96,105011095,Nyngan - Warren,2783,46,137780823,43400,49508
97,105011096,Walgett - Lightning Ridge,2536,45,74299803,36962,29298
98,105021097,Broken Hill,8482,44,513456526,52690,60535
99,105021098,Far West,862,47,31332889,40244,36349
100,105031099,Coonabarabran,3642,49,137575970,35526,37775
101,105031100,Dubbo - East,5996,41,352884738,51831,58853
102,105031101,Dubbo - South,10451,40,628772833,53491,60164
103,105031102,Dubbo - West,5209,39,313289086,51815,60144
104,105031103,Dubbo Region,3479,46,180256185,48018,51813
105,105031104,Gilgandra,2161,48,79722531,35379,36891
106,105031105,Narromine,3460,46,161098941,42435,46560
